book_id,title,title_without_series,image_url,book_url,num_pages,format,edition_information,publisher,publication_day,publication_year,publication_month,average_rating,ratings_count,description,authors,published
51228520,Mihile's Marvel (The Quasar Lineage #12),Mihile's Marvel,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/51228520-mihile-s-marvel,,,,,,,,4.57,23,"Mihile I hate being trapped underground. With the planet Quasar uninhabitable on the surface, my entire life has been spent without sunlight. Since I was born blind, it's kind of fitting.With my lack of vision and light skin and hair, I represent not only the most unique features of our species, but also the most shunned. Even with my political connections, I have few friends and no female prospects for any kind of commitment. I think I'll always be alone in the dark until I see her. Suddenly, my sight begins forming, and my already excellent hearing becomes super charged. Now, I find out almost everything I believed was a lie. Our planet is inhabited above ground, and even though my doctors don't tell me themselves, I've mated.I'll never be alone again—if my mate makes it to me. The ruling bodies of Quasar are conspiring against the males who've mated… maybe even killing them. Will the spacecraft carrying my mate make it to Quasar? And when they do, will we be able to expose the conspiracy and all those involved?How can we possibly stop something that runs so deep, when there's no way to let everyone know the truth? Tara Every day, every decision, whether it's large or small is based around my safety. Where I go, how I go there, and with whom is all carefully weighed.Despite my family's diligence, between a hospital visit and attending college, I'm assaulted on a bus, and I end up fighting for my life.Given the choice to leave Earth by the equivalent of alien matchmakers, I decide to take the plunge. I'm sick of the fear and female suppression my government enables. I'm told that my mate has endured a similar plight, and I'll have a part in changing that for his species. But my mate's planet is under siege by the Marel, an insect-looking species of alien that accosts us on our way to Quasar. We escape but find out more are on the way. They're working with someone high in power on the planet, and we need to expose the female’s original treaty with the Ashen in addition to this new threat.Is it too late to save the clueless on the planet Quasar and offer them new protection? Will the Marel be able to set up their breeding farms when their backup arrives?Will the population of Quasar even believe the threat is real before it's too late?PLEASE NOTE: This SciFi Romance alien book contains Adult Language and Steamy Adult Bedroom Scenes. It is intended for 18+ Readers Adults Only.It's part of a science fiction romance series but can be read as a standalone story with no cliffhangers!",18600770,
51509350,Maid For The Irish Mafia Man: An Instalove Possessive Alpha Romance (A Man Who Knows What He Wants Book 138),Maid For The Irish Mafia Man: An Instalove Possessive Alpha Romance,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/51509350-maid-for-the-irish-mafia-man,,,,,,,,4.64,14,None,16141984,
8366074,"The Handmaid's Tale (The Handmaid's Tale, #1)",The Handmaid's Tale,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330389871l/8366074._SX98_.jpg,https://www.goodreads.com/book/show/8366074-the-handmaid-s-tale,324.0,Paperback,,Vintage Classics,7.0,2010.0,10.0,4.11,1303245,"Offred is a ""Handmaid"" in the Republic of Gilead. She has only one function: to breed. If she deviates, she will, like dissenters, be hanged at the wall or sent out to die slowly of radiation sickness. Brilliantly conceived and executed, this powerful evocation of twenty-first century America explores a world in which oppression of women, and repression of the truth, have become justified.",3472,2010.0
9255439,দীপু নাম্বার টু,দীপু নাম্বার টু,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416983877l/9255439._SX98_.jpg,https://www.goodreads.com/book/show/9255439,87.0,Hardcover,,সময়,,1984.0,7.0,4.44,2382,"ভূমিকা:""আমি যখন পদার্থ বিজ্ঞানে ডি.এইচ.ডি করার জন্যে যুক্তরাষ্ট্রে গিয়েছি তখন সেখানে আমি একেবারেই একা, বাংলায় কথা বলার একজন মানুষও নেই। পড়াশোনার প্রচন্ড চাপ, সিয়াটলের মেঘে ঢাকা ধূসর আকাশ, গুড়িগুড়ি বৃষ্টি, কনকনে শীত সব মিলিয়ে খুব মন খারাপ করা নিঃসঙ্গ একটা পরিবেশ। একাকীত্ব দূর করার জন্যে আমি তখন কল্পনায় একটা কিশোর তৈরি করে নিয়েছিলাম। তার নাম দিয়েছিলাম দীপু। যখন মন খারাপ হতো সেই কিশোরটি তখন আমাকে সঙ্গ দিতো। বিশ্ববিদ্যালয়ের বৃষ্টিভেজা ক্যাম্পাসের পিঠে ব্যাকপেক নিয়ে হাঁটতে হাঁটতে সেই কাল্পনিক চরিত্রকে তা আপনজনদের প্রায় সত্যিকার মানুষদের মতো দেখতে পেতাম। এক সময় সেই কিশোর আর তার প্রিয় মানুষদের সুখ-দুঃখ আর অ্যাডভেঞ্চারের কাহিনীটা লিখতে বসেছি, গভীর ভালোবাসা নিয়ে লিখে শেষ করেছি। লেখা শেষ হলে নাম দিয়েছি দীপু নাম্বার টু! দীপু নাম্বার ‍টু এখনও আমার খুব প্রিয় উপন্যাস। আমার খুব সৌভাগ্য এই দেশের ছেলেমেয়েরা এই উপন্যাসটিকে ঠিক আমার মতোই গভীর ভালোবাসার সাথে গ্রহণ করেছিল। প্রায় তিন দশক আগে লেখা এই উপন্যাসটি আজ আবার নূতন আঙ্গিকে সময় প্রকাশন থেকে বের হতে যাচ্ছে, এই সময়টিতে আমি আমার শিশু কিশোর পাঠক পাঠিকাদের গভীর মমতার সাথে স্মরণ করছি।""",4242779,1984.0
7927946,Não Se Pode Amar E Ser Feliz Ao Mesmo Tempo,Não Se Pode Amar E Ser Feliz Ao Mesmo Tempo,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/7927946-n-o-se-pode-amar-e-ser-feliz-ao-mesmo-tempo,152.0,,,Companhia das Letras,,,,3.67,49,None,52349,
688590,My Name Is Michael Sibley,My Name Is Michael Sibley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322960635l/688590._SX98_.jpg,https://www.goodreads.com/book/show/688590.My_Name_Is_Michael_Sibley,,,,,,,,3.75,48,"FROM THE INTRODUCTION BY JOHN LE CARRÉ ""This novel comprises some of the best work of an extremely gifted and perhaps under-regarded British crime novelist....What gave John Bingham his magic was something we look for in every writer, too often in vain: an absolute command of the internal landscape of his characters, acutely observed by a humane but wonderfully corrosive eye.""Michael Sibley and John Prosset shared a history that dated back to their first years at boarding school, and so the news of Prosset's murder came as a great shock to his old friend -- especially because Sibley had been staying only the day before at Prosset's country house, where the body was found.When the police arrive to question him in connection with the murder, Sibley finds himself lying about his recent visit, and thus begins to reveal the true nature of a longstanding but volatile friendship, fraught with mutual deception and distrust. As he tells his version of the truth to the police - and to the reader - Sibley makes the first of many fateful mistakes and finds himself not only under suspicion, but a primary suspect in the investigation.Seen through the eyes of Sibley himself, 'My Name Is Michael Sibley' is a mesmerizing account of murder, as the narrator purposefully attempts to elude the police and prove his innocence to the reader in the same breath.",5363818,
48358831,"King Maker (Kingdom of Runes, #3)",King Maker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582052249l/48358831._SX98_.jpg,https://www.goodreads.com/book/show/48358831-king-maker,,,,,,,,4.73,85,"Perfect for fans of Sarah J. Maas and Holly Black, this long awaited third book promises even more action and romance than the last! They broke the curse, but at what cost? Haven and her crew may be considered heroes, but they arrive back in Penryth harboring dangerous secrets. Plagued by nightmares, Haven struggles to control her newfound magic while Bell shrinks under the weight of their shared lie. When an emissary from Solissia shows up in Penryth and drafts Bell in a magical tournament, Haven is once again forced to follow the prince to foreign lands, this time to the bloodthirsty court of Archeron’s mother. Trapped in a shifting landscape of dark politics, duplicitous immortals, and cruel sovereigns, Haven fights to keep Bell alive all without revealing their secret. But a terrible evil brews on the horizon. One that threatens the very fabric of the realm. Haven might be their only hope of stopping the impending darkness. But first she must learn to accept her own darkness and follow her heart—no matter where it leads. Welcome to the Kingdom of Runes where immortals and humans clash, light and dark magic reign, and mythical creatures lurk in the shadows. If you like fierce heroines, enemies-to-lovers romance, wild plot twists, and endearing characters, then you'll adore this continuation of Haven and Bell's story! **The Kingdom of Runes series is upper/mature YA and contains mild cursing and adult situations, including romance.**",15044420,
35582559,O Príncipe e Outras Fábulas Modernas,O Príncipe e Outras Fábulas Modernas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499096588l/35582559._SX98_.jpg,https://www.goodreads.com/book/show/35582559-o-pr-ncipe-e-outras-f-bulas-modernas,166.0,Paperback,Primeira Edição,Martin Claret,,2013.0,,3.6,5,"Rabindranath Tagore foi um dos maiores escritores da Índia, o que lhe rendeu o Prémio Nobel de Literatura em 1913. Nesta coletânea de fábulas do autor, o leitor encontrará reflexões filosóficas sobre uma cultura e um povo repletos de beleza e encantamentos. As pequenas narrativas de Tagore ensinam a viver com simplicidade, amor ao próximo e sabedoria. Contadas com leveza, a obra é uma leitura acessível para todos os públicos.",36913,2013.0
50607950,Mayhem,Mayhem,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579560205l/50607950._SX98_.jpg,https://www.goodreads.com/book/show/50607950-mayhem,,,,,,,,4.5,6,"For years, I’d been on a questTo find the men who killed my father.We trusted themAnd respected themBecause they were family.But they signed their death warrants the day they betrayed us.One by one, I’ve made them all pay for their sins.Revenge drove me to this place of darkness.But when I pulled the trigger that last time,Finally putting an end to the hunt,I sealed my own fateAnd committed a worse sin.Read it for FREE on BookFunnel-- https://dl.bookfunnel.com/28e0amc80q",8341231,
46430073,Verse and Vengeance (A Magical Bookshop Mystery #4),Verse and Vengeance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571699997l/46430073._SX98_.jpg,https://www.goodreads.com/book/show/46430073-verse-and-vengeance,,Hardcover,,Crooked Lane Books,10.0,2019.0,12.0,4.23,410,"USA Today bestselling author and Agatha Award winner Amanda Flower turns the charm up to ten in her fourth Magical Bookshop mystery. With the help of Walt Whitman's works, magical bookshop owner Violet Waverly puts her pedal to the metal to sleuth a bicycle-race murder that tests her mettle. A bicycle race is not Charming Books proprietor Violet Waverly's idea of a pleasant pastime. But police chief David Rainwater wheelie wants them to enter the Tour de Cascade as a couple, so she reluctantly consents.The Tour de Cascade is the brainchild of Violet's Grandma Daisy. The race is a fundraiser to build the Cascade Springs Underground Railroad Museum. But not everyone in this Niagara Region village supports the race. As if the bike race weren't tiring enough, pesky private investigator Joel Redding is snooping around Charming Books. It takes all of Violet's and Grandma Daisy's ingenuity to keep Redding from discovering the shop's magical essence--which communicates with Violet through books.When Redding perishes in an accident during the race, David discovers that the brake line of the private eye's bike was cut. Worse, Violet tops his list of suspects. As Emerson the tuxedo cat and resident crow Faulkner look on, Charming Books steers Violet to the works of Walt Whitman to solve the crime. But no other names ring a bell as culprits, and as David's investigation picks up speed, Violet will have to get in gear to clear her name.",3412728,2019.0
